class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
down,0.512860119,0.445586413,-0.692278802,0.999973655,0.540387571,0.430587143,-0.725755274,0.999792993,0.552704394,0.42734164,-0.726143003,0.999856234,0.562763691,0.423734814,-0.726358891,0.999850869,0.49437803,0.426535547,-0.721360505,0.999547422,0.478664875,0.421281517,-0.721505761,0.999569118,0.466834724,0.415605813,-0.721761823,0.999383926,0.597658932,0.390743166,-0.731104493,0.999836445,0.45582661,0.374610901,-0.702664018,0.999535799,0.538497329,0.44337675,-0.673413992,0.999973059,0.483537525,0.444174349,-0.666599095,0.999948978,0.695715666,0.41627571,-0.626606703,0.999987006,0.371564865,0.375687301,-0.608603716,0.999743402,0.671995461,0.589670956,-0.643779516,0.998787105,0.308297694,0.570068955,-0.63330549,0.998257816,0.630643427,0.745136559,-0.730578482,0.996059179,0.302661061,0.737739682,-0.652079403,0.993250787,0.65421021,0.778408289,-0.791105449,0.983595371,0.270195663,0.772951424,-0.693659902,0.98061955,0.613650262,0.776290119,-0.801309943,0.985056818,0.311597168,0.778431177,-0.72099942,0.982148409,0.596257329,0.766459823,-0.741732419,0.983183026,0.327436596,0.759892583,-0.665312648,0.982931197,0.567122698,0.471318513,-0.003746023,0.999973178,0.396897465,0.450227469,0.003454948,0.999929905,0.558288753,0.60895443,0.077981584,0.872357845,0.348368049,0.613172352,0.202948287,0.923216343,0.579819381,0.744526923,0.307042986,0.873741686,0.348472625,0.717080474,0.418381453,0.900689363,0.573894501,0.748958707,0.318635345,0.684627533,0.358680904,0.720501304,0.432511061,0.682428837,0.602056265,0.815121531,0.167644575,0.861662805,0.329825759,0.784884691,0.273593634,0.89875865
down,0.504539132,0.446845949,-0.686154246,0.999963164,0.534335315,0.432315022,-0.71345222,0.999755442,0.54768157,0.429911017,-0.713900924,0.999828756,0.559292614,0.426774919,-0.714143991,0.999824286,0.488006026,0.427037835,-0.715856373,0.999476075,0.473462552,0.421672761,-0.715990484,0.999502778,0.462828696,0.416089594,-0.716237903,0.999296725,0.596179843,0.397715837,-0.709520042,0.999814987,0.449876249,0.377243102,-0.703673303,0.999475718,0.531136692,0.446169913,-0.665481627,0.9999668,0.474960446,0.444661617,-0.665301979,0.999937952,0.695772767,0.41765213,-0.614965379,0.999985337,0.337398559,0.377742082,-0.614946544,0.999668121,0.670214891,0.590360463,-0.626951814,0.998690009,0.307351917,0.566283286,-0.631546319,0.997363329,0.630802989,0.746810913,-0.711828947,0.995722651,0.3010616,0.739671707,-0.654008567,0.989244163,0.653392315,0.779240787,-0.781264603,0.982251108,0.273778409,0.773791611,-0.701359034,0.971929491,0.61416465,0.777596235,-0.78520298,0.983826637,0.314869314,0.778307021,-0.730933905,0.974608123,0.595882952,0.767094851,-0.721391678,0.981788874,0.330695719,0.760102987,-0.667951465,0.976177275,0.565727115,0.471065849,0.000287333,0.999966383,0.389436513,0.451057225,-0.000340951,0.999917984,0.558286667,0.608944237,0.116090767,0.866159499,0.345024884,0.611783147,0.206518695,0.919507802,0.583403349,0.744591355,0.384011239,0.859101355,0.327014685,0.730754137,0.427036911,0.891140282,0.578384161,0.758274257,0.401782185,0.66863817,0.335182697,0.718299627,0.444066972,0.671195924,0.601868808,0.815597653,0.265378356,0.844393969,0.313194513,0.781760931,0.29010734,0.888214767
down,0.504187822,0.448902994,-0.712900281,0.999944687,0.534014523,0.433870018,-0.73461169,0.999694943,0.547329843,0.432048649,-0.735049129,0.999774396,0.559115291,0.429254264,-0.735280633,0.999780834,0.488238186,0.428263277,-0.739567757,0.999360144,0.473640859,0.422981411,-0.739692748,0.999375105,0.462929547,0.417697281,-0.739957988,0.999155939,0.595491529,0.401753634,-0.712525487,0.999774456,0.448445588,0.380699813,-0.722308755,0.999334455,0.529260695,0.450626194,-0.68685174,0.999953926,0.475360394,0.448006243,-0.689973891,0.999912202,0.695664823,0.421624929,-0.62798661,0.99998337,0.329019964,0.381045729,-0.614438713,0.999574959,0.666735053,0.59372896,-0.639143169,0.998475492,0.304716766,0.567294121,-0.609392226,0.995886803,0.630067468,0.747637808,-0.734437466,0.995126963,0.300138474,0.741150677,-0.638596594,0.98378855,0.649566054,0.779275537,-0.808790982,0.979714692,0.274732023,0.774900258,-0.688040018,0.959830463,0.613873839,0.777975202,-0.810374081,0.981574237,0.316097111,0.778303325,-0.717701197,0.964013159,0.594875455,0.767554224,-0.743204951,0.979172051,0.331901163,0.760372043,-0.653155088,0.966260135,0.565737188,0.471059024,-0.005433582,0.999959946,0.389268339,0.451820046,0.005404727,0.99990803,0.558477044,0.608981848,0.131599829,0.854769588,0.344399065,0.609269142,0.252727836,0.908986926,0.584644854,0.742442071,0.450528979,0.832297325,0.319944352,0.707015634,0.535129488,0.862270415,0.582181096,0.747383296,0.473784745,0.64214927,0.327937067,0.707093239,0.559698284,0.641519189,0.601665676,0.811837971,0.327037185,0.814917743,0.293577224,0.766485393,0.403609008,0.860936761
down,0.501766503,0.453417927,-0.686972976,0.999936938,0.53280288,0.436637312,-0.70683068,0.999673128,0.546237946,0.435091883,-0.707287252,0.999756098,0.558327258,0.432597429,-0.707533181,0.999765694,0.487159669,0.430521548,-0.713515699,0.999320686,0.472430497,0.425027102,-0.713620484,0.999335766,0.46168834,0.419834405,-0.713855743,0.999109983,0.594976604,0.405390918,-0.688495934,0.999762952,0.446434975,0.384682387,-0.702179313,0.99929744,0.526018083,0.455280453,-0.661461532,0.999949336,0.473768473,0.452770919,-0.667641342,0.999903679,0.695591807,0.424054414,-0.604000449,0.999982119,0.327046961,0.384224355,-0.597213924,0.999493778,0.665211797,0.595769763,-0.604544759,0.998306751,0.302525043,0.572324574,-0.591588795,0.994826496,0.629787087,0.748839974,-0.69632268,0.994651675,0.29840672,0.743233919,-0.629640758,0.979699373,0.648144484,0.779847085,-0.769819319,0.977918744,0.274899691,0.776349366,-0.680757403,0.951269448,0.613421321,0.778601825,-0.770818114,0.979990304,0.31641525,0.778561652,-0.710011721,0.956477582,0.594910324,0.767519832,-0.705146313,0.977362096,0.332077295,0.761534631,-0.644252777,0.959232628,0.565800905,0.470680326,-0.005389984,0.999956787,0.38756606,0.452447921,0.005381366,0.999901891,0.558474362,0.609124303,0.136913195,0.847611606,0.343807191,0.60864526,0.247576594,0.90358007,0.584658921,0.742848277,0.437229961,0.814710498,0.317956567,0.704666436,0.503522396,0.847774327,0.582943141,0.761383414,0.458292693,0.624380171,0.324710101,0.706629157,0.525321424,0.625657976,0.59878099,0.813246727,0.314875931,0.795131385,0.293164581,0.767314553,0.373233795,0.847462535
down,0.500565469,0.457038492,-0.689571083,0.999934494,0.53119415,0.440000594,-0.708517969,0.999674261,0.54476434,0.437810212,-0.708960474,0.999754608,0.55711484,0.435077548,-0.709187388,0.999766409,0.487179011,0.435230255,-0.716918111,0.999325991,0.472403884,0.429517657,-0.717024326,0.999337673,0.461391777,0.423887402,-0.717251718,0.99911952,0.59410584,0.40620935,-0.694848776,0.999767065,0.445010811,0.387654454,-0.705994546,0.999303222,0.525478065,0.457152963,-0.662462294,0.99994874,0.473495662,0.456876546,-0.670039773,0.999902129,0.694056988,0.426406503,-0.604549766,0.999981523,0.324305028,0.391593546,-0.597346067,0.999442458,0.664354146,0.596609354,-0.604961634,0.998199344,0.301234454,0.576689065,-0.591272116,0.993993938,0.629621804,0.748812377,-0.696162283,0.994337738,0.297442198,0.74478662,-0.629831195,0.977012575,0.645145655,0.779839635,-0.767631352,0.97673434,0.275291651,0.777539194,-0.680982411,0.945503294,0.611590505,0.778588057,-0.770639122,0.978994012,0.316640437,0.778842151,-0.709558725,0.951400876,0.593870223,0.767104805,-0.705353141,0.976181328,0.332150638,0.76250118,-0.644005954,0.954129517,0.565631866,0.470517308,-0.006377608,0.999955416,0.385793507,0.453397244,0.006367593,0.999899387,0.558258057,0.60998404,0.130276144,0.845998466,0.343222976,0.608713329,0.246267617,0.899636269,0.581697345,0.745321691,0.423762858,0.804965198,0.315014154,0.706065416,0.501134276,0.836946845,0.583479524,0.764194489,0.444086164,0.613546848,0.322061509,0.708197236,0.522788525,0.611646235,0.59042722,0.817168951,0.293577969,0.783306599,0.286116779,0.769123077,0.364533305,0.837061226
down,0.500717163,0.457868248,-0.66613704,0.999928832,0.531293511,0.440867722,-0.688840449,0.99965173,0.544898033,0.438417703,-0.689283907,0.999736786,0.557166636,0.43548879,-0.689504445,0.999749541,0.489500374,0.437158585,-0.697101772,0.999290645,0.474175453,0.431409001,-0.69725579,0.999304891,0.462058067,0.425453752,-0.697540939,0.999075651,0.593268931,0.405654997,-0.676523864,0.99975419,0.445343643,0.388611823,-0.696560979,0.999275088,0.526018322,0.457431436,-0.641901672,0.999946773,0.474411279,0.458054274,-0.650320649,0.999898612,0.693056941,0.426244766,-0.588460803,0.999979973,0.325583875,0.392536074,-0.595950961,0.99937284,0.664367139,0.596797705,-0.590805829,0.998137653,0.300740838,0.577623427,-0.596987963,0.993628263,0.629241765,0.74850744,-0.678960919,0.994083643,0.2965343,0.74558121,-0.631862998,0.97553432,0.643571079,0.779340148,-0.744681239,0.976004183,0.275387287,0.777879715,-0.681143463,0.942564845,0.610587537,0.778665483,-0.750093997,0.978331506,0.316024959,0.782070816,-0.710051835,0.948669195,0.593672693,0.767012358,-0.68807584,0.975476086,0.332112461,0.763512313,-0.645908594,0.951635242,0.565510035,0.470085412,-0.004877647,0.999952614,0.390031636,0.456015974,0.004876729,0.999895513,0.558276713,0.608848214,0.127882436,0.847519398,0.341865212,0.60907495,0.223251313,0.898077667,0.582441986,0.748520851,0.395306796,0.804632187,0.315316707,0.731656909,0.430144995,0.837444663,0.584052503,0.768555343,0.414611936,0.614314377,0.321202099,0.714465976,0.446675837,0.611835539,0.591222882,0.821929097,0.279805392,0.781026781,0.289982677,0.77422601,0.289158702,0.83656913
down,0.499668032,0.461043924,-1.154751778,0.99965483,0.529487789,0.443185121,-1.179941416,0.999277353,0.543429315,0.440179914,-1.180240273,0.9993909,0.555823863,0.437126696,-1.180416822,0.999470711,0.487734407,0.441085815,-1.182018876,0.998721063,0.472775072,0.435753644,-1.182131052,0.998688698,0.460734427,0.42973575,-1.182336211,0.998441339,0.590362191,0.408652008,-1.105684996,0.999624848,0.442953765,0.390169561,-1.098531961,0.998803794,0.525696754,0.459515661,-1.100753546,0.999789298,0.474339008,0.461873263,-1.099374294,0.9996261,0.692392945,0.426923484,-0.889644563,0.99997443,0.32452336,0.393893182,-0.873812616,0.999272406,0.664473176,0.597343862,-0.862386644,0.997536182,0.300665855,0.57980448,-0.818642557,0.990584195,0.627178013,0.748435259,-0.921495557,0.993229747,0.296335161,0.745930016,-0.852018058,0.971736789,0.641386569,0.779056668,-1.007076502,0.972386777,0.275951475,0.777980387,-0.925189853,0.932026863,0.608942151,0.778657913,-1.022975683,0.975880623,0.315994114,0.783517241,-0.957365274,0.940258801,0.593635142,0.767003596,-0.934178233,0.972732425,0.332363933,0.764346898,-0.869362354,0.942621291,0.566219985,0.467297256,-0.004866231,0.999946296,0.400128245,0.454184353,0.004871643,0.999890924,0.557224035,0.608855307,0.343146414,0.827932715,0.346772432,0.600551009,0.431190282,0.884080589,0.582449973,0.733247876,0.834251463,0.779515862,0.317671865,0.701125503,0.8675161,0.818666577,0.584008515,0.735242784,0.875776589,0.580887556,0.324384183,0.700446248,0.907907188,0.586310744,0.589308262,0.806944609,0.697042227,0.757650793,0.293243349,0.768558323,0.731669903,0.817442894
down,0.496810734,0.463433713,-0.98552978,0.999584675,0.525959194,0.445580214,-1.008905649,0.999213636,0.53987354,0.44314909,-1.00922811,0.999319077,0.553001106,0.440149486,-1.009449601,0.999428988,0.484477639,0.441818684,-1.013326764,0.99862498,0.469930768,0.436159045,-1.013382077,0.998560011,0.458288431,0.430187762,-1.01352036,0.998337865,0.588978946,0.413942844,-0.943224669,0.999607742,0.439917982,0.391128927,-0.946620405,0.998696089,0.521242023,0.462621897,-0.935186565,0.999745965,0.471372336,0.464107364,-0.937019646,0.99954021,0.69150281,0.428895056,-0.762392402,0.999969184,0.320348471,0.394196868,-0.758768559,0.999171615,0.659175694,0.598850131,-0.7471596,0.996959329,0.300742447,0.583395362,-0.72716409,0.984728336,0.623179853,0.748584092,-0.824244082,0.992304206,0.296625942,0.746818602,-0.754230618,0.961748779,0.64015919,0.779067397,-0.900252819,0.967795968,0.277419776,0.780341387,-0.816197932,0.910652459,0.604902208,0.778530657,-0.910763443,0.972703397,0.317343861,0.784665942,-0.84700942,0.923381686,0.590534985,0.76683867,-0.835336983,0.969301045,0.333586305,0.765400827,-0.769833863,0.925655544,0.56607151,0.465783745,-0.003365886,0.999938369,0.402866006,0.451960504,0.003534965,0.999883413,0.55701524,0.608441889,0.277020842,0.806607425,0.356846154,0.598497033,0.362486482,0.873001516,0.578086793,0.722611487,0.70900327,0.748128176,0.321890771,0.691224396,0.73164928,0.800059915,0.574996531,0.721643269,0.744710326,0.5557459,0.325186282,0.695187628,0.765677512,0.569114685,0.589606285,0.795968354,0.582251012,0.729274511,0.299120516,0.760394037,0.598799527,0.799310148
down,0.494918883,0.462329686,-0.821815372,0.99961859,0.524309874,0.44496876,-0.835217953,0.999275208,0.538546562,0.442364275,-0.835620284,0.999372482,0.551890433,0.439380348,-0.83586669,0.999474287,0.482544631,0.440955013,-0.847903848,0.998730421,0.468111724,0.435258001,-0.847958684,0.99867034,0.456585675,0.429325163,-0.848012149,0.998465776,0.588111162,0.413117677,-0.770227075,0.999635518,0.43873179,0.391981155,-0.806596339,0.998792827,0.52043575,0.461323589,-0.774761438,0.999766409,0.468557566,0.462499201,-0.788552165,0.999577522,0.691116869,0.428369641,-0.630063474,0.999969244,0.322337806,0.391627401,-0.689876258,0.999162912,0.659369588,0.598606229,-0.619279027,0.996847391,0.300902039,0.58018285,-0.717651784,0.983558297,0.622826755,0.749058366,-0.693773508,0.991710544,0.296541959,0.745630682,-0.728547752,0.956797242,0.640439272,0.779082119,-0.767819881,0.965549052,0.277370006,0.779669404,-0.789009571,0.90156281,0.606127143,0.778814316,-0.770855129,0.970831096,0.317314655,0.784744978,-0.820605278,0.915810585,0.590831578,0.767533302,-0.703616798,0.967699528,0.333566546,0.766172826,-0.744598985,0.918838382,0.565465093,0.465147197,-0.000651307,0.99993825,0.395271659,0.448820204,0.000943306,0.999879539,0.55618763,0.603889823,0.201693073,0.810025513,0.356656671,0.600726008,0.265881091,0.873384774,0.577864945,0.735160947,0.501502275,0.751208007,0.32098338,0.723936796,0.544670999,0.801220357,0.57261163,0.729285002,0.52370429,0.560207605,0.325829327,0.700784743,0.56893158,0.571486473,0.594613194,0.824882269,0.366042525,0.732797205,0.305475235,0.767034352,0.398684025,0.801481724
down,0.493465155,0.461591512,-0.7358706,0.999649704,0.522981584,0.444454014,-0.75822717,0.999323547,0.537326813,0.441772819,-0.758630097,0.999416113,0.550820827,0.438760251,-0.758866251,0.999510646,0.48137489,0.440288454,-0.764324725,0.998810649,0.466997832,0.434688032,-0.76444,0.998754919,0.455648959,0.428842485,-0.764633417,0.998560905,0.587988436,0.411892712,-0.726486683,0.999657035,0.437807173,0.391171664,-0.741111994,0.998865306,0.518683612,0.460502058,-0.703678131,0.999785125,0.46757549,0.462430388,-0.709537029,0.999611378,0.69112432,0.428076208,-0.609722793,0.99996984,0.323436916,0.389149457,-0.634431899,0.999165952,0.659048855,0.599087536,-0.606923223,0.99693203,0.300841391,0.579611659,-0.635046065,0.983656049,0.622699499,0.749346912,-0.690397918,0.991906524,0.297065467,0.741982222,-0.669053793,0.956469953,0.640410066,0.7791363,-0.762705922,0.966418266,0.277327091,0.777909875,-0.725561261,0.901123106,0.606285572,0.778816402,-0.767246604,0.97151345,0.317970812,0.783124566,-0.75534904,0.915440798,0.590860426,0.767818809,-0.700395167,0.968475401,0.333545804,0.766056597,-0.684176445,0.918501735,0.566001236,0.463654071,-0.000659729,0.999938726,0.398139775,0.448840618,0.000935272,0.99987942,0.554702282,0.603331923,0.163546294,0.8087852,0.35597077,0.601544917,0.232223839,0.870062411,0.574905932,0.733922899,0.441940933,0.744806349,0.321561635,0.728376567,0.484103352,0.792781949,0.568980098,0.731864572,0.461613804,0.556084573,0.327128708,0.701926589,0.50443387,0.563387394,0.58817631,0.814724982,0.315243661,0.728312016,0.305435121,0.767757535,0.338668257,0.796708822
